Au"status"	"family"	"pval"	"qval"	"id"	"symbol"	"gene_short_name"	"num_cells_expressed"	"use_for_ordering"	"gene_id"
"ENSMUSG00000067879"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000067879"	"3110035E14Rik"	"3110035E14Rik"	3655	TRUE	"ENSMUSG00000067879"
"ENSMUSG00000098234"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000098234"	"Snhg6"	"Snhg6"	23289	TRUE	"ENSMUSG00000098234"
"ENSMUSG00000048960"	"OK"	"negbinomial.size"	2.4414708697293e-72	9.11892297267e-71	"ENSMUSG00000048960"	"Prex2"	"Prex2"	808	FALSE	"ENSMUSG00000048960"
"ENSMUSG00000025937"	"OK"	"negbinomial.size"	8.24744673295393e-49	1.98231455039749e-47	"ENSMUSG00000025937"	"Lactb2"	"Lactb2"	5131	FALSE	"ENSMUSG00000025937"
"ENSMUSG00000032719"	"OK"	"negbinomial.size"	4.7894334057052e-232	7.93568354189983e-230	"ENSMUSG00000032719"	"Sbspon"	"Sbspon"	821	FALSE	"ENSMUSG00000032719"
"ENSMUSG00000041859"	"OK"	"negbinomial.size"	4.62878502777242e-60	1.35768977038711e-58	"ENSMUSG00000041859"	"Mcm3"	"Mcm3"	11217	TRUE	"ENSMUSG00000041859"
"ENSMUSG00000026156"	"OK"	"negbinomial.size"	5.89650539553994e-67	2.0139927968319e-65	"ENSMUSG00000026156"	"B3gat2"	"B3gat2"	4375	TRUE	"ENSMUSG00000026156"
"ENSMUSG00000061518"	"OK"	"negbinomial.size"	1.30295246138556e-72	4.88999628580242e-71	"ENSMUSG00000061518"	"Cox5b"	"Cox5b"	27506	FALSE	"ENSMUSG00000061518"
"ENSMUSG00000058407"	"OK"	"negbinomial.size"	1.49106750272773e-66	5.01584802483463e-65	"ENSMUSG00000058407"	"Txndc9"	"Txndc9"	22834	FALSE	"ENSMUSG00000058407"
"ENSMUSG00000026078"	"OK"	"negbinomial.size"	1.50309681576717e-72	5.62758002537828e-71	"ENSMUSG00000026078"	"Pdcl3"	"Pdcl3"	20752	FALSE	"ENSMUSG00000026078"
