"status"	"family"	"pval"	"qval"	"id"	"symbol"	"gene_short_name"	"gene_id"	"num_cells_expressed"	"use_for_ordering"
"ENSMUSG00000098234"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000098234"	"Snhg6"	"Snhg6"	"ENSMUSG00000098234"	23289	TRUE
"ENSMUSG00000041859"	"OK"	"negbinomial.size"	4.6283229004554e-60	1.35755422174375e-58	"ENSMUSG00000041859"	"Mcm3"	"Mcm3"	"ENSMUSG00000041859"	11217	TRUE
"ENSMUSG00000018417"	"OK"	"negbinomial.size"	4.95544725465118e-36	8.68178751306999e-35	"ENSMUSG00000018417"	"Myo1b"	"Myo1b"	"ENSMUSG00000018417"	6309	FALSE
"ENSMUSG00000073676"	"OK"	"negbinomial.size"	1.60184659644383e-83	6.94951552635448e-82	"ENSMUSG00000073676"	"Hspe1"	"Hspe1"	"ENSMUSG00000073676"	27530	FALSE
"ENSMUSG00000026005"	"OK"	"negbinomial.size"	1.28458838378638e-174	1.49309433413977e-172	"ENSMUSG00000026005"	"Rpe"	"Rpe"	"ENSMUSG00000026005"	8491	FALSE
"ENSMUSG00000026003"	"OK"	"negbinomial.size"	1.20592401214469e-41	2.40182435922679e-40	"ENSMUSG00000026003"	"Acadl"	"Acadl"	"ENSMUSG00000026003"	21792	TRUE
"ENSMUSG00000073643"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000073643"	"Wdfy1"	"Wdfy1"	"ENSMUSG00000073643"	7342	TRUE
"ENSMUSG00000026234"	"OK"	"negbinomial.size"	1.02549710183767e-41	2.04770735398995e-40	"ENSMUSG00000026234"	"Ncl"	"Ncl"	"ENSMUSG00000026234"	27392	TRUE
"ENSMUSG00000026238"	"OK"	"negbinomial.size"	2.66271757966284e-78	1.08849937803803e-76	"ENSMUSG00000026238"	"Ptma"	"Ptma"	"ENSMUSG00000026238"	27531	TRUE
"ENSMUSG00000044783"	"OK"	"negbinomial.size"	3.97861738117083e-226	6.32315976650363e-224	"ENSMUSG00000044783"	"Hjurp"	"Hjurp"	"ENSMUSG00000044783"	9979	TRUE
"ENSMUSG00000049866"	"OK"	"negbinomial.size"	1.81215468862077e-189	2.25794474202148e-187	"ENSMUSG00000049866"	"Arl4c"	"Arl4c"	"ENSMUSG00000049866"	14756	TRUE
