"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0003697"	"GO:0003697"	"single-stranded DNA binding"	"11/146"	"111/22707"	1.44918146589501e-10	5.4054468677884e-08	4.31703531419251e-08	"Mcm3/Ncl/Mcm6/Hnrnpu/Mcm7/Cnbp/Mcm2/Ptbp1/Alyref/Hnrnpk/Mcm4"	11
"GO:0051082"	"GO:0051082"	"unfolded protein binding"	"10/146"	"97/22707"	6.90508934305545e-10	1.28779916247984e-07	1.02849488636036e-07	"Hspd1/Cct3/Cct7/Hspa8/Cct4/Npm1/Cct5/Cct8/Tcp1/Hspa9"	10
"GO:0003729"	"GO:0003729"	"mRNA binding"	"15/146"	"301/22707"	1.08100701832453e-09	1.34405205945017e-07	1.07342100416085e-07	"Ncl/Hnrnpu/Exosc9/Exosc8/Serbp1/Cnbp/Snrnp70/Eif4g2/Ptbp1/Rbpms2/G3bp1/Hnrnpk/Cct5/Rsl1d1/Srsf3"	15
"GO:0042393"	"GO:0042393"	"histone binding"	"12/146"	"233/22707"	3.76555443148361e-08	3.51137950735846e-06	2.80434711607858e-06	"Ncl/Ptma/Hjurp/Hat1/Ssrp1/Cks1b/Anp32e/Anp32b/Nasp/Mcm2/Smarcc1/Npm1"	12
"GO:0003688"	"GO:0003688"	"DNA replication origin binding"	"5/146"	"23/22707"	3.14445616621609e-07	2.3457642999972e-05	1.87343388429295e-05	"Mcm3/Mcm6/Mcm7/Mcm2/Mcm4"	5
"GO:0043021"	"GO:0043021"	"ribonucleoprotein complex binding"	"9/146"	"147/22707"	4.75079563574247e-07	2.95341128688657e-05	2.35872835950021e-05	"Hnrnpu/Eif4h/Prmt1/Snrnp70/Eef2/Gm10073/Npm1/Eif5a/Hnrnpk"	9
"GO:0031625"	"GO:0031625"	"ubiquitin protein ligase binding"	"12/146"	"306/22707"	7.12810786087839e-07	3.7982631887252e-05	3.0334654505693e-05	"Hspd1/Mid1/Vcp/Trim28/Pa2g4/Hspa8/Actg1/Rangap1/Tuba1b/Tcp1/Tubb5/Hspa9"	12
"GO:0044389"	"GO:0044389"	"ubiquitin-like protein ligase binding"	"12/146"	"325/22707"	1.34085439965079e-06	6.25173363837183e-05	4.9929183565944e-05	"Hspd1/Mid1/Vcp/Trim28/Pa2g4/Hspa8/Actg1/Rangap1/Tuba1b/Tcp1/Tubb5/Hspa9"	12
"GO:0003730"	"GO:0003730"	"mRNA 3'-UTR binding"	"7/146"	"92/22707"	2.1825262102637e-06	9.04535862698178e-05	7.22403412286114e-05	"Hnrnpu/Exosc9/Exosc8/Serbp1/Hnrnpk/Cct5/Rsl1d1"	7
"GO:0019843"	"GO:0019843"	"rRNA binding"	"6/146"	"72/22707"	7.02256343193242e-06	0.000261941616011079	0.00020919846855125	"Rrs1/Ncl/Emg1/Eef2/Npm1/Rpl3"	6
"GO:0004386"	"GO:0004386"	"helicase activity"	"8/146"	"157/22707"	8.21243777424693e-06	0.000278476299072191	0.000222403817235587	"Mcm3/Mcm6/Mcm7/Mcm2/Ddx39/G3bp1/Eif4a1/Mcm4"	8
"GO:0008135"	"GO:0008135"	"translation factor activity, RNA binding"	"6/146"	"77/22707"	1.03795295967818e-05	0.000322630378299969	0.000257667269814847	"Eif4h/Eif4g2/Eef2/Eif4a1/Eif5a/Eif5"	6
"GO:0003725"	"GO:0003725"	"double-stranded RNA binding"	"6/146"	"84/22707"	1.71505363855052e-05	0.000460848186168251	0.000368054287245986	"Hspd1/Hnrnpu/Eif4h/Hmgb1/Eif4a1/Tuba1b"	6
"GO:0016887"	"GO:0016887"	"ATPase activity"	"12/146"	"418/22707"	1.72972509553767e-05	0.000460848186168251	0.000368054287245986	"Mcm3/Myo1b/Mcm6/Vcp/Mcm7/Mcm2/Ddx39/Hspa8/G3bp1/Eif4a1/Mcm4/Hspa9"	12
"GO:0045182"	"GO:0045182"	"translation regulator activity"	"7/146"	"128/22707"	1.94279752716638e-05	0.000483108985088707	0.000385832772061815	"Eif4h/Cnbp/Eif4g2/Eef2/Eif4a1/Eif5a/Eif5"	7
"GO:0090079"	"GO:0090079"	"translation regulator activity, nucleic acid binding"	"6/146"	"95/22707"	3.46062176724537e-05	0.000806757449489076	0.000644313131664763	"Eif4h/Eif4g2/Eef2/Eif4a1/Eif5a/Eif5"	6
"GO:0008097"	"GO:0008097"	"5S rRNA binding"	"3/146"	"13/22707"	7.10378309780055e-05	0.00155865358557624	0.00124481152735452	"Rrs1/Eef2/Rpl3"	3
"GO:0003743"	"GO:0003743"	"translation initiation factor activity"	"4/146"	"47/22707"	0.000235979903352668	0.0048900279972525	0.00390539840051491	"Eif4h/Eif4g2/Eif4a1/Eif5"	4
"GO:0017116"	"GO:0017116"	"single-stranded DNA helicase activity"	"3/146"	"20/22707"	0.000273959855399521	0.00537826452968532	0.00429532626471271	"Mcm6/Mcm7/Mcm2"	3
"GO:0043138"	"GO:0043138"	"3'-5' DNA helicase activity"	"3/146"	"21/22707"	0.000318117297170744	0.00593288759223437	0.00473827342628002	"Mcm6/Mcm7/Mcm2"	3
"GO:0003727"	"GO:0003727"	"single-stranded RNA binding"	"5/146"	"96/22707"	0.000392020263370182	0.00696302658271799	0.00556098919968729	"Hnrnpu/Eif4h/Hmgb1/Cnbp/Hnrnpf"	5
