"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0002181"	"GO:0002181"	"cytoplasmic translation"	"33/857"	"98/23843"	1.69288995752785e-23	7.7381999958598e-20	6.21023315998374e-20	"Rpl31/Zc3h15/Rps21/Rpl39/Eif2s3x/Rpl22l1/Rps3a1/Rps20/Rplp0/Rpl6/Rpl18/Rpl27a/Eif4ebp1/Gm8730/Gm10073/Rpl15/Dph3/Rplp1/Rpl29/Rpl26/Rpl38/Rps23/Rps29/Rpl30/Gm10020/Rpl8/Rpl35a/Rpl24/Rps2/Rpl36/Eif2s3y/Rpl17/Rpl9-ps6"	33
"GO:0046034"	"GO:0046034"	"ATP metabolic process"	"43/857"	"221/23843"	8.64450748171838e-20	1.97570218494674e-16	1.58558466177835e-16	"Cox5b/Atp1b1/Ndufs2/Atp1a2/Atp5c1/Ak1/Mtch2/Pgk1/Atp5f1/Ndufb6/Vcp/Uqcrh/Atpif1/Atp5k/Cox6a1/Atp5j2/Cycs/Hk2/Tpi1/Gapdh/Gpi1/Ldha/Ndufc2/Mif/Ndufa12/Atp5b/Cox4i1/Hspa8/Atp5l/Sdhd/Pkm/Uqcrc1/Aldoc/Atp5h/Uqcrb/Sdha/Dld/Gpd1/Atp5o/Ndufv2/Atp5a1/Pgam1/Ndufb8"	43
"GO:0009205"	"GO:0009205"	"purine ribonucleoside triphosphate metabolic process"	"45/857"	"247/23843"	1.83172513299047e-19	2.79093852763315e-16	2.23984634683221e-16	"Cox5b/Atp1b1/Ndufs2/Atp1a2/Atp5c1/Ak1/Mtch2/Pgk1/Atp5f1/Ndufb6/Vcp/Uqcrh/Atpif1/Atp5k/Cox6a1/Atp5j2/Cycs/Hk2/Tpi1/Gapdh/Gpi1/Ldha/Ndufc2/Mif/Ndufa12/Atp5b/Cox4i1/Hspa8/Atp5l/Sdhd/Pkm/Uqcrc1/Nme6/Aldoc/Nme1/Atp5h/Uqcrb/Sdha/Dld/Gpd1/Atp5o/Ndufv2/Atp5a1/Pgam1/Ndufb8"	45
"GO:0009199"	"GO:0009199"	"ribonucleoside triphosphate metabolic process"	"45/857"	"251/23843"	3.54107779034362e-19	3.37108562172063e-16	2.70543895535848e-16	"Cox5b/Atp1b1/Ndufs2/Atp1a2/Atp5c1/Ak1/Mtch2/Pgk1/Atp5f1/Ndufb6/Vcp/Uqcrh/Atpif1/Atp5k/Cox6a1/Atp5j2/Cycs/Hk2/Tpi1/Gapdh/Gpi1/Ldha/Ndufc2/Mif/Ndufa12/Atp5b/Cox4i1/Hspa8/Atp5l/Sdhd/Pkm/Uqcrc1/Nme6/Aldoc/Nme1/Atp5h/Uqcrb/Sdha/Dld/Gpd1/Atp5o/Ndufv2/Atp5a1/Pgam1/Ndufb8"	45
"GO:0009141"	"GO:0009141"	"nucleoside triphosphate metabolic process"	"47/857"	"274/23843"	3.68747059912561e-19	3.37108562172063e-16	2.70543895535848e-16	"Cox5b/Atp1b1/Ndufs2/Atp1a2/Atp5c1/Ak1/Mtch2/Pgk1/Atp5f1/Ndufb6/Vcp/Uqcrh/Atpif1/Atp5k/Cox6a1/Atp5j2/Cycs/Suclg1/Hk2/Tpi1/Gapdh/Gpi1/Ldha/Ndufc2/Dctpp1/Mif/Ndufa12/Atp5b/Cox4i1/Hspa8/Atp5l/Sdhd/Pkm/Uqcrc1/Nme6/Aldoc/Nme1/Atp5h/Uqcrb/Sdha/Dld/Gpd1/Atp5o/Ndufv2/Atp5a1/Pgam1/Ndufb8"	47
"GO:0009144"	"GO:0009144"	"purine nucleoside triphosphate metabolic process"	"45/857"	"256/23843"	7.91643350836899e-19	6.03100292779244e-16	4.84013522397648e-16	"Cox5b/Atp1b1/Ndufs2/Atp1a2/Atp5c1/Ak1/Mtch2/Pgk1/Atp5f1/Ndufb6/Vcp/Uqcrh/Atpif1/Atp5k/Cox6a1/Atp5j2/Cycs/Hk2/Tpi1/Gapdh/Gpi1/Ldha/Ndufc2/Mif/Ndufa12/Atp5b/Cox4i1/Hspa8/Atp5l/Sdhd/Pkm/Uqcrc1/Nme6/Aldoc/Nme1/Atp5h/Uqcrb/Sdha/Dld/Gpd1/Atp5o/Ndufv2/Atp5a1/Pgam1/Ndufb8"	45
"GO:0006091"	"GO:0006091"	"generation of precursor metabolites and energy"	"52/857"	"342/23843"	1.11872958837036e-18	6.53601880384611e-16	5.24543184870378e-16	"Cox5b/Idh1/Ndufs2/Fh1/Mtch2/Ndufs3/Idh3g/Pgk1/Adh5/Ndufb6/Vcp/Uqcrh/Stk40/Sdhb/Cox6a1/Mdh2/Cycs/Suclg1/Hk2/Chchd4/Tpi1/Gapdh/Gpi1/Bax/Ldha/Ndufc2/Mif/S100b/Ndufa12/Bloc1s1/Cox4i1/Sdhd/Acat1/Idh3a/Pkm/Cyb5r4/Uqcrc1/Mdh1/Mybbp1a/Aldoc/Prelid1/Uqcrb/Sdha/Ndufaf2/Ndufs4/Dld/Gpd1/Ppp1r1a/Atp5o/Ndufv2/Pgam1/Ndufb8"	52
"GO:0009167"	"GO:0009167"	"purine ribonucleoside monophosphate metabolic process"	"44/857"	"247/23843"	1.14391053228547e-18	6.53601880384611e-16	5.24543184870378e-16	"Cox5b/Atp1b1/Ndufs2/Atp1a2/Atp5c1/Ak1/Mtch2/Pgk1/Atp5f1/Ndufb6/Vcp/Uqcrh/Atpif1/Atp5k/Cox6a1/Atp5j2/Cycs/Hk2/Tpi1/Gapdh/Gpi1/Ldha/Ndufc2/Mif/Ndufa12/Nudt4/Atp5b/Cox4i1/Hspa8/Atp5l/Sdhd/Pkm/Uqcrc1/Aldoc/Atp5h/Uqcrb/Sdha/Dld/Gpd1/Atp5o/Ndufv2/Atp5a1/Pgam1/Ndufb8"	44
"GO:0009126"	"GO:0009126"	"purine nucleoside monophosphate metabolic process"	"44/857"	"248/23843"	1.34398884163022e-18	6.82596999454639e-16	5.47812995682027e-16	"Cox5b/Atp1b1/Ndufs2/Atp1a2/Atp5c1/Ak1/Mtch2/Pgk1/Atp5f1/Ndufb6/Vcp/Uqcrh/Atpif1/Atp5k/Cox6a1/Atp5j2/Cycs/Hk2/Tpi1/Gapdh/Gpi1/Ldha/Ndufc2/Mif/Ndufa12/Nudt4/Atp5b/Cox4i1/Hspa8/Atp5l/Sdhd/Pkm/Uqcrc1/Aldoc/Atp5h/Uqcrb/Sdha/Dld/Gpd1/Atp5o/Ndufv2/Atp5a1/Pgam1/Ndufb8"	44
"GO:0009161"	"GO:0009161"	"ribonucleoside monophosphate metabolic process"	"44/857"	"251/23843"	2.16851301515008e-18	9.91227299225102e-16	7.95501879768214e-16	"Cox5b/Atp1b1/Ndufs2/Atp1a2/Atp5c1/Ak1/Mtch2/Pgk1/Atp5f1/Ndufb6/Vcp/Uqcrh/Atpif1/Atp5k/Cox6a1/Atp5j2/Cycs/Hk2/Tpi1/Gapdh/Gpi1/Ldha/Ndufc2/Mif/Ndufa12/Nudt4/Atp5b/Cox4i1/Hspa8/Atp5l/Sdhd/Pkm/Uqcrc1/Aldoc/Atp5h/Uqcrb/Sdha/Dld/Gpd1/Atp5o/Ndufv2/Atp5a1/Pgam1/Ndufb8"	44
"GO:0045333"	"GO:0045333"	"cellular respiration"	"35/857"	"158/23843"	3.13281715603984e-18	1.30182792911437e-15	1.04477203720563e-15	"Cox5b/Idh1/Ndufs2/Fh1/Mtch2/Ndufs3/Idh3g/Ndufb6/Vcp/Uqcrh/Sdhb/Cox6a1/Mdh2/Cycs/Suclg1/Chchd4/Bax/Ndufc2/Ndufa12/Bloc1s1/Cox4i1/Sdhd/Idh3a/Uqcrc1/Mdh1/Mybbp1a/Prelid1/Uqcrb/Sdha/Ndufaf2/Ndufs4/Dld/Gpd1/Ndufv2/Ndufb8"	35
