"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0046034"	"GO:0046034"	"ATP metabolic process"	"38/559"	"221/23843"	5.01320398750137e-22	2.01731328457055e-18	1.63430449992545e-18	"Cox5b/Atp1b1/Ndufs2/Atp1a2/Atp5c1/Ak1/Mtch2/Atp5f1/Ndufb6/Uqcrh/Atpif1/Cox6a1/Atp5j2/Cycs/Tpi1/Gapdh/Gpi1/Ldha/Ndufc2/Mif/Ndufa12/Atp5b/Cox4i1/Hspa8/Atp5l/Sdhd/Uqcrc1/Aldoc/Atp5h/Uqcrb/Sdha/Dld/Gpd1/Atp5o/Ndufv2/Atp5a1/Pgam1/Ndufb8"	38
"GO:0009167"	"GO:0009167"	"purine ribonucleoside monophosphate metabolic process"	"39/559"	"247/23843"	3.42892059951511e-21	4.00553274032304e-18	3.24503894966529e-18	"Cox5b/Atp1b1/Ndufs2/Atp1a2/Atp5c1/Ak1/Mtch2/Atp5f1/Ndufb6/Uqcrh/Atpif1/Cox6a1/Atp5j2/Cycs/Tpi1/Gapdh/Gpi1/Ldha/Ndufc2/Mif/Ndufa12/Nudt4/Atp5b/Cox4i1/Hspa8/Atp5l/Sdhd/Uqcrc1/Aldoc/Atp5h/Uqcrb/Sdha/Dld/Gpd1/Atp5o/Ndufv2/Atp5a1/Pgam1/Ndufb8"	39
"GO:0009205"	"GO:0009205"	"purine ribonucleoside triphosphate metabolic process"	"39/559"	"247/23843"	3.42892059951511e-21	4.00553274032304e-18	3.24503894966529e-18	"Cox5b/Atp1b1/Ndufs2/Atp1a2/Atp5c1/Ak1/Mtch2/Atp5f1/Ndufb6/Uqcrh/Atpif1/Cox6a1/Atp5j2/Cycs/Tpi1/Gapdh/Gpi1/Ldha/Ndufc2/Mif/Ndufa12/Atp5b/Cox4i1/Hspa8/Atp5l/Sdhd/Uqcrc1/Aldoc/Nme1/Atp5h/Uqcrb/Sdha/Dld/Gpd1/Atp5o/Ndufv2/Atp5a1/Pgam1/Ndufb8"	39
"GO:0009126"	"GO:0009126"	"purine nucleoside monophosphate metabolic process"	"39/559"	"248/23843"	3.98164288302489e-21	4.00553274032304e-18	3.24503894966529e-18	"Cox5b/Atp1b1/Ndufs2/Atp1a2/Atp5c1/Ak1/Mtch2/Atp5f1/Ndufb6/Uqcrh/Atpif1/Cox6a1/Atp5j2/Cycs/Tpi1/Gapdh/Gpi1/Ldha/Ndufc2/Mif/Ndufa12/Nudt4/Atp5b/Cox4i1/Hspa8/Atp5l/Sdhd/Uqcrc1/Aldoc/Atp5h/Uqcrb/Sdha/Dld/Gpd1/Atp5o/Ndufv2/Atp5a1/Pgam1/Ndufb8"	39
"GO:0009161"	"GO:0009161"	"ribonucleoside monophosphate metabolic process"	"39/559"	"251/23843"	6.20633002271331e-21	4.16237866856639e-18	3.37210597900757e-18	"Cox5b/Atp1b1/Ndufs2/Atp1a2/Atp5c1/Ak1/Mtch2/Atp5f1/Ndufb6/Uqcrh/Atpif1/Cox6a1/Atp5j2/Cycs/Tpi1/Gapdh/Gpi1/Ldha/Ndufc2/Mif/Ndufa12/Nudt4/Atp5b/Cox4i1/Hspa8/Atp5l/Sdhd/Uqcrc1/Aldoc/Atp5h/Uqcrb/Sdha/Dld/Gpd1/Atp5o/Ndufv2/Atp5a1/Pgam1/Ndufb8"	39
"GO:0009199"	"GO:0009199"	"ribonucleoside triphosphate metabolic process"	"39/559"	"251/23843"	6.20633002271331e-21	4.16237866856639e-18	3.37210597900757e-18	"Cox5b/Atp1b1/Ndufs2/Atp1a2/Atp5c1/Ak1/Mtch2/Atp5f1/Ndufb6/Uqcrh/Atpif1/Cox6a1/Atp5j2/Cycs/Tpi1/Gapdh/Gpi1/Ldha/Ndufc2/Mif/Ndufa12/Atp5b/Cox4i1/Hspa8/Atp5l/Sdhd/Uqcrc1/Aldoc/Nme1/Atp5h/Uqcrb/Sdha/Dld/Gpd1/Atp5o/Ndufv2/Atp5a1/Pgam1/Ndufb8"	39
"GO:0009144"	"GO:0009144"	"purine nucleoside triphosphate metabolic process"	"39/559"	"256/23843"	1.28178484377685e-20	7.36843173051149e-18	5.96945512958933e-18	"Cox5b/Atp1b1/Ndufs2/Atp1a2/Atp5c1/Ak1/Mtch2/Atp5f1/Ndufb6/Uqcrh/Atpif1/Cox6a1/Atp5j2/Cycs/Tpi1/Gapdh/Gpi1/Ldha/Ndufc2/Mif/Ndufa12/Atp5b/Cox4i1/Hspa8/Atp5l/Sdhd/Uqcrc1/Aldoc/Nme1/Atp5h/Uqcrb/Sdha/Dld/Gpd1/Atp5o/Ndufv2/Atp5a1/Pgam1/Ndufb8"	39
"GO:0009141"	"GO:0009141"	"nucleoside triphosphate metabolic process"	"40/559"	"274/23843"	2.00160247852313e-20	1.00680604669713e-17	8.15653009998174e-18	"Cox5b/Atp1b1/Ndufs2/Atp1a2/Atp5c1/Ak1/Mtch2/Atp5f1/Ndufb6/Uqcrh/Atpif1/Cox6a1/Atp5j2/Cycs/Suclg1/Tpi1/Gapdh/Gpi1/Ldha/Ndufc2/Mif/Ndufa12/Atp5b/Cox4i1/Hspa8/Atp5l/Sdhd/Uqcrc1/Aldoc/Nme1/Atp5h/Uqcrb/Sdha/Dld/Gpd1/Atp5o/Ndufv2/Atp5a1/Pgam1/Ndufb8"	40
"GO:0009123"	"GO:0009123"	"nucleoside monophosphate metabolic process"	"39/559"	"261/23843"	2.60134595024143e-20	1.16309067819683e-17	9.42265310865229e-18	"Cox5b/Atp1b1/Ndufs2/Atp1a2/Atp5c1/Ak1/Mtch2/Atp5f1/Ndufb6/Uqcrh/Atpif1/Cox6a1/Atp5j2/Cycs/Tpi1/Gapdh/Gpi1/Ldha/Ndufc2/Mif/Ndufa12/Nudt4/Atp5b/Cox4i1/Hspa8/Atp5l/Sdhd/Uqcrc1/Aldoc/Atp5h/Uqcrb/Sdha/Dld/Gpd1/Atp5o/Ndufv2/Atp5a1/Pgam1/Ndufb8"	39
"GO:0045333"	"GO:0045333"	"cellular respiration"	"30/559"	"158/23843"	6.51826993655481e-19	2.62295182246965e-16	2.12495599931687e-16	"Cox5b/Idh1/Ndufs2/Fh1/Mtch2/Ndufs3/Idh3g/Ndufb6/Uqcrh/Sdhb/Cox6a1/Mdh2/Cycs/Suclg1/Bax/Ndufc2/Ndufa12/Bloc1s1/Cox4i1/Sdhd/Idh3a/Uqcrc1/Mdh1/Uqcrb/Sdha/Ndufs4/Dld/Gpd1/Ndufv2/Ndufb8"	30
"GO:0006091"	"GO:0006091"	"generation of precursor metabolites and energy"	"41/559"	"342/23843"	1.00202828682951e-17	3.6656016601836e-15	2.96964746824019e-15	"Cox5b/Idh1/Ndufs2/Fh1/Mtch2/Ndufs3/Idh3g/Adh5/Ndufb6/Uqcrh/Sdhb/Cox6a1/Mdh2/Cycs/Suclg1/Tpi1/Gapdh/Gpi1/Bax/Ldha/Ndufc2/Mif/S100b/Ndufa12/Bloc1s1/Cox4i1/Sdhd/Acat1/Idh3a/Uqcrc1/Mdh1/Aldoc/Uqcrb/Sdha/Ndufs4/Dld/Gpd1/Atp5o/Ndufv2/Pgam1/Ndufb8"	41
"GO:0019693"	"GO:0019693"	"ribose phosphate metabolic process"	"46/559"	"452/23843"	6.27102944273891e-17	2.10288520646511e-14	1.7036296652774e-14	"Cox5b/Ramp1/Atp1b1/Ndufs2/Atp1a2/Atp5c1/Ak1/Mtch2/Atp5f1/Papss1/Ndufb6/Uqcrh/Atpif1/Cox6a1/Atp5j2/Cycs/Tpi1/Gapdh/Apoe/Gpi1/Ldha/Ndufc2/Taldo1/Mif/Ndufa12/Nudt4/Atp5b/Cox4i1/Tkt/Hspa8/Atp5l/Sdhd/Acat1/Uqcrc1/Aldoc/Nme1/Atp5h/Uqcrb/Sdha/Dld/Gpd1/Atp5o/Ndufv2/Atp5a1/Pgam1/Ndufb8"	46
"GO:0009150"	"GO:0009150"	"purine ribonucleotide metabolic process"	"44/559"	"430/23843"	2.50024294634838e-16	7.73921355085068e-14	6.26984000391978e-14	"Cox5b/Ramp1/Atp1b1/Ndufs2/Atp1a2/Atp5c1/Ak1/Mtch2/Atp5f1/Papss1/Ndufb6/Uqcrh/Atpif1/Cox6a1/Atp5j2/Cycs/Tpi1/Gapdh/Apoe/Gpi1/Ldha/Ndufc2/Mif/Ndufa12/Nudt4/Atp5b/Cox4i1/Hspa8/Atp5l/Sdhd/Acat1/Uqcrc1/Aldoc/Nme1/Atp5h/Uqcrb/Sdha/Dld/Gpd1/Atp5o/Ndufv2/Atp5a1/Pgam1/Ndufb8"	44
"GO:0009259"	"GO:0009259"	"ribonucleotide metabolic process"	"44/559"	"440/23843"	5.84331154301904e-16	1.67953468922205e-13	1.36065683073158e-13	"Cox5b/Ramp1/Atp1b1/Ndufs2/Atp1a2/Atp5c1/Ak1/Mtch2/Atp5f1/Papss1/Ndufb6/Uqcrh/Atpif1/Cox6a1/Atp5j2/Cycs/Tpi1/Gapdh/Apoe/Gpi1/Ldha/Ndufc2/Mif/Ndufa12/Nudt4/Atp5b/Cox4i1/Hspa8/Atp5l/Sdhd/Acat1/Uqcrc1/Aldoc/Nme1/Atp5h/Uqcrb/Sdha/Dld/Gpd1/Atp5o/Ndufv2/Atp5a1/Pgam1/Ndufb8"	44
"GO:0006163"	"GO:0006163"	"purine nucleotide metabolic process"	"44/559"	"443/23843"	7.50066341985337e-16	2.01217797343266e-13	1.63014418324813e-13	"Cox5b/Ramp1/Atp1b1/Ndufs2/Atp1a2/Atp5c1/Ak1/Mtch2/Atp5f1/Papss1/Ndufb6/Uqcrh/Atpif1/Cox6a1/Atp5j2/Cycs/Tpi1/Gapdh/Apoe/Gpi1/Ldha/Ndufc2/Mif/Ndufa12/Nudt4/Atp5b/Cox4i1/Hspa8/Atp5l/Sdhd/Acat1/Uqcrc1/Aldoc/Nme1/Atp5h/Uqcrb/Sdha/Dld/Gpd1/Atp5o/Ndufv2/Atp5a1/Pgam1/Ndufb8"	44
"GO:0015980"	"GO:0015980"	"energy derivation by oxidation of organic compounds"	"32/559"	"247/23843"	4.59636885464295e-15	1.1559867669427e-12	9.36510154133501e-13	"Cox5b/Idh1/Ndufs2/Fh1/Mtch2/Ndufs3/Idh3g/Ndufb6/Uqcrh/Sdhb/Cox6a1/Mdh2/Cycs/Suclg1/Bax/Ldha/Ndufc2/S100b/Ndufa12/Bloc1s1/Cox4i1/Sdhd/Idh3a/Uqcrc1/Mdh1/Uqcrb/Sdha/Ndufs4/Dld/Gpd1/Ndufv2/Ndufb8"	32
