"status"	"family"	"pval"	"qval"	"id"	"symbol"	"gene_short_name"	"gene_id"	"num_cells_expressed"	"use_for_ordering"
"ENSMUSG00000067879"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000067879"	"3110035E14Rik"	"3110035E14Rik"	"ENSMUSG00000067879"	3655	TRUE
"ENSMUSG00000048960"	"OK"	"negbinomial.size"	2.43896988691698e-72	9.10958177187818e-71	"ENSMUSG00000048960"	"Prex2"	"Prex2"	"ENSMUSG00000048960"	808	FALSE
"ENSMUSG00000025937"	"OK"	"negbinomial.size"	8.24233808864799e-49	1.98108666251069e-47	"ENSMUSG00000025937"	"Lactb2"	"Lactb2"	"ENSMUSG00000025937"	5131	FALSE
"ENSMUSG00000032719"	"OK"	"negbinomial.size"	4.77658913492576e-232	7.91440167834774e-230	"ENSMUSG00000032719"	"Sbspon"	"Sbspon"	"ENSMUSG00000032719"	821	FALSE
"ENSMUSG00000026156"	"OK"	"negbinomial.size"	5.8888309693355e-67	2.01137154270615e-65	"ENSMUSG00000026156"	"B3gat2"	"B3gat2"	"ENSMUSG00000026156"	4375	TRUE
"ENSMUSG00000061518"	"OK"	"negbinomial.size"	1.31299544330967e-72	4.92768771796341e-71	"ENSMUSG00000061518"	"Cox5b"	"Cox5b"	"ENSMUSG00000061518"	27506	FALSE
"ENSMUSG00000058407"	"OK"	"negbinomial.size"	1.49257106158748e-66	5.02090589292116e-65	"ENSMUSG00000058407"	"Txndc9"	"Txndc9"	"ENSMUSG00000058407"	22834	FALSE
"ENSMUSG00000026078"	"OK"	"negbinomial.size"	1.50401864004567e-72	5.6310313266133e-71	"ENSMUSG00000026078"	"Pdcl3"	"Pdcl3"	"ENSMUSG00000026078"	20752	FALSE
"ENSMUSG00000073702"	"OK"	"negbinomial.size"	3.04559060920691e-75	1.18884896587463e-73	"ENSMUSG00000073702"	"Rpl31"	"Rpl31"	"ENSMUSG00000073702"	27572	FALSE
"ENSMUSG00000060424"	"OK"	"negbinomial.size"	1.5043511897942e-68	5.2652291642797e-67	"ENSMUSG00000060424"	"Pantr1"	"Pantr1"	"ENSMUSG00000060424"	25285	TRUE
"ENSMUSG00000025982"	"OK"	"negbinomial.size"	8.58420515113508e-49	2.05374800658877e-47	"ENSMUSG00000025982"	"Sf3b1"	"Sf3b1"	"ENSMUSG00000025982"	25139	FALSE
"ENSMUSG00000025979"	"OK"	"negbinomial.size"	6.30723249561764e-79	2.61960389651319e-77	"ENSMUSG00000025979"	"Mob4"	"Mob4"	"ENSMUSG00000025979"	23113	FALSE
"ENSMUSG00000025964"	"OK"	"negbinomial.size"	7.98013918491999e-37	1.44021631292154e-35	"ENSMUSG00000025964"	"Adam23"	"Adam23"	"ENSMUSG00000025964"	1201	FALSE
"ENSMUSG00000025950"	"OK"	"negbinomial.size"	1.3272794693383e-119	8.87226512229356e-118	"ENSMUSG00000025950"	"Idh1"	"Idh1"	"ENSMUSG00000025950"	23637	TRUE
"ENSMUSG00000046330"	"OK"	"negbinomial.size"	3.2429675135145e-89	1.4943555923961e-87	"ENSMUSG00000046330"	"Rpl37a"	"Rpl37a"	"ENSMUSG00000046330"	27577	FALSE
"ENSMUSG00000039323"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000039323"	"Igfbp2"	"Igfbp2"	"ENSMUSG00000039323"	27071	TRUE
"ENSMUSG00000026173"	"OK"	"negbinomial.size"	4.79213142848182e-93	2.31075687302181e-91	"ENSMUSG00000026173"	"Plcd4"	"Plcd4"	"ENSMUSG00000026173"	6126	TRUE
"ENSMUSG00000026209"	"OK"	"negbinomial.size"	1.46791181068169e-40	2.88670788527365e-39	"ENSMUSG00000026209"	"Dnpep"	"Dnpep"	"ENSMUSG00000026209"	19349	TRUE
"ENSMUSG00000026249"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000026249"	"Serpine2"	"Serpine2"	"ENSMUSG00000026249"	27407	TRUE
"ENSMUSG00000036766"	"OK"	"negbinomial.size"	2.2230561149244e-53	5.90854931569071e-52	"ENSMUSG00000036766"	"Dner"	"Dner"	"ENSMUSG00000036766"	16623	TRUE
"ENSMUSG00000034353"	"OK"	"negbinomial.size"	1.39174491619382e-46	3.13243165747381e-45	"ENSMUSG00000034353"	"Ramp1"	"Ramp1"	"ENSMUSG00000034353"	20602	TRUE
"ENSMUSG00000026385"	"OK"	"negbinomial.size"	9.11316641392537e-304	2.15056919540739e-301	"ENSMUSG00000026385"	"Dbi"	"Dbi"	"ENSMUSG00000026385"	27569	TRUE
